Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler Plug In,Karma Revero,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2
75935,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
75938,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,4
75943,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75946,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
75948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
75949,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
75951,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,1,1,,,,,,,,,,,,,16
75954,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
75961,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,9
75964,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,1,2,,,,,,,,,,,,,9
75965,,,,,,,,,,,,,,1,,,,,,,1,,4,,,,,1,,2,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,3,2,3,2,,,1,,1,,,,,,,,,,,28
75966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
75972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,4
75974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75975,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75979,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4
75980,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76001,,,,1,,,1,,,1,,,,1,2,,3,1,2,,8,,8,,,,,,,2,,,3,,,,,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,27,8,4,18,,,1,,1,,,,,,,,,,,106
76002,,,,1,,,,,,2,1,,1,,,,,,,,5,,9,2,,,,,,1,,1,3,2,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,,,,4,,,1,,1,,2,,,36,3,2,14,,,4,,1,,1,,,,,,,,,102
76005,,,,,,,1,,,,1,,,1,2,1,,,1,,2,,2,2,,,,,,,,,1,1,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,5,1,,,,1,,,,,42,17,3,28,,,1,,3,,,,,,1,,,,,121
76006,,,,,,,1,,,2,,,,3,2,,,,,,3,,7,3,,,,,,1,1,,3,3,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,32,11,4,10,,1,1,,,,1,,1,,,,,,,98
76008,3,,,,,1,,,,,1,,,1,,2,1,,,,2,1,8,6,,,,1,,,,,3,1,,,1,,3,,,,,,,2,2,,,1,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,43,20,5,20,,,4,,,1,2,,,,1,,4,,,144
76009,,,,,,,,,,1,,,,,1,,,,,,3,,4,,,,,1,,1,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,6,2,2,1,,,,,,,,,,,,,,,,28
76010,,,,,,,,,,,,,3,,1,,,,,,1,1,2,2,,,,,,1,,,1,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,1,,,,,16,8,3,5,,,2,,1,,,,,,,,,,,56
76011,,,,,,,,,,,2,,,,,,,,,,1,,9,,,,,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,13,6,4,3,,,,,,,,,,,,,,,,44
76012,1,,,,,1,,,,,5,,4,3,1,1,2,1,1,1,4,1,8,,,,,2,,3,,,6,1,,,,,3,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,1,,,,,34,16,5,10,,,4,,1,1,2,,,,,1,1,,,136
76013,,,,,,,,,,,1,,1,4,,,2,,,,9,2,5,1,,,,3,,2,,1,2,1,,,,,1,,,,,,,,1,,,2,,,1,,,,,,,,,1,,,,,,,1,,,3,1,,1,,1,,,,,21,8,4,9,,,2,,1,,1,,,,1,,,,,94
76014,,,,,,,,,,,,,,2,,,,,,,5,,4,,,,,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,12,2,1,3,,1,1,,,,,,,,,,,,,37
76015,,,,,,1,,,,,,,,,1,,,,,,3,,2,1,,,,2,,1,,,1,2,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,9,,1,4,,,1,,,,,,,,,,,,,37
76016,1,,,1,,,,,,2,2,,,2,,1,1,,,,6,1,17,1,,,,4,,1,,,5,3,,,,,,,,,,1,,1,,,2,,,,,,,,,,1,,,,,,,,,,,,,8,,,,,3,,1,,,34,27,5,18,,,7,,1,1,1,,,,1,,1,,,161
76017,1,,,1,,,,,,3,,,1,1,,,2,,1,,2,,13,4,,,1,2,,5,,,5,3,,,,,2,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,7,,,,1,2,,,,,32,12,5,9,,,3,,1,1,,,,,,,,,,124
76018,,,,,,,,,,,1,,,1,1,,,,,,2,,10,3,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,21,6,2,8,,,1,,,,,,,,,,,,,65
76019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76020,,,,,,,,,,1,,,,4,,,1,,,,,,6,1,,,,1,,1,,,3,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,10,5,4,7,,,2,,,,,,,,,,,,,52
76021,,,1,1,,1,,,,2,2,,1,4,,,1,,,,10,1,16,3,,,,2,,2,,1,1,,,,,,3,,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,1,,,14,,,,,,,1,,,47,13,4,21,,1,2,,2,,1,,,,,1,,,,164
76022,,,,,,,,,,,1,,,,,,2,,,,1,,6,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,5,1,,,,,3,,,,,,,,,,,,,30
76023,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,9
76025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76028,1,,,,,,,,,2,1,,3,2,3,,,,,,5,,13,4,,,,3,,2,1,,5,3,,1,1,,4,,,,,,,,5,1,1,1,,,,,3,,,,,,,1,,1,,,1,,1,1,,7,,1,,1,1,,,,,82,21,12,20,,1,4,,,1,1,,1,,,1,1,,,225
76031,,,,,,,,,,,,,1,,,,1,,,,,,2,1,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,3,1,1,2,,,1,,,,,,,,,,,,,21
76033,,,,,,,,,,1,,,,2,,,,,,,,,4,1,,,,,,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,9,5,,1,,,,,,,,,,,,,1,,,30
76034,,,,2,1,4,,,,1,6,1,3,5,2,,7,,,,6,,11,2,,,,2,,4,,,5,5,,,,,6,,1,,,,,,13,,1,,,,,1,,,,,1,,,,,,,,1,1,,1,,7,,,2,2,11,,,,,125,85,47,61,,,2,,2,,,,,,,,1,,,438
76035,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,7
76036,,,,,,,,,,,1,,,1,,,1,,,,2,,11,,,,,2,,1,,,5,1,,,1,,1,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,1,,,3,,,,,1,,,,,23,8,3,12,,,3,,,,,,,,2,,,,,87
76039,,,,,,,,,,2,,1,3,3,,,1,,1,,7,3,9,2,,,,,,4,,,8,2,,,,,2,,,,,1,,,4,,,,,,,,1,,,,,,,,,,,,,1,,,,9,,,,,,,,,,53,16,4,23,,1,3,,1,1,1,,,,1,,,,,168
76040,1,,,,,,,,,1,,,,2,4,,,,,,3,,9,3,,,,1,,5,,,2,,,,,,3,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,1,,5,,,,1,,,1,,,35,3,,13,,,2,,,,1,,,,,,,,,100
76043,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,1,1,1,,1,,,,,,,,,,,,,,15
76044,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,2,,4,,,,,,,,,,,,,1,,,19
76048,1,1,,1,,,1,,,,1,,,1,,,1,,1,,3,,5,2,,,,,,2,,,5,1,,,,,1,,,,,,,1,3,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,10,6,1,6,,,1,,,,,,,,,,,,,61
76049,2,,,,,,,,,1,,,1,2,,1,4,,1,,2,,4,2,,,,2,,1,,,4,2,,,,,2,,,1,,1,,,3,,,,,,,,2,,,,,,,2,,,,,1,,,,,3,,,,,,,2,,,18,9,4,12,,,2,,1,,,,,,,,2,,,94
76050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,,,1,,,,,,,,,,,,,9
76051,2,,,5,,1,1,,,4,4,,4,4,1,3,4,1,2,,28,,29,2,,,,3,,4,2,,13,6,,,,,2,1,,1,,,,,4,,3,,,,,,2,,,,,,,,,,,,,1,,,,18,,,4,3,,,1,,2,124,42,17,52,1,3,5,,3,,6,,,1,1,,3,,,423
76052,,,,,,,1,,,,3,,,4,,1,2,,2,,,,15,3,,,,2,,2,,,9,6,,,,,1,,1,,,,,,5,,,,,,2,,,,,,,,,,,,,,1,1,,1,,5,,,1,,1,,1,,,42,16,1,25,,1,2,,2,1,4,,,,,1,1,,,166
76053,,,,,,1,,,,,1,,1,3,,,,,,,3,,6,1,,,,4,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,1,,5,,,,,1,,,,,15,7,,6,,,2,,,,1,,,,,,,,,63
76054,,,,,,,,,,1,,,2,3,,,,,,,4,,5,1,,,,1,,2,,1,2,1,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,18,8,2,8,,,,,,,,,,,1,1,,,,72
76055,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,5
76058,,,,,,,,,,,,,,,,,,,,,1,,8,1,,,,,,1,,,4,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,1,,,,,,,,,,,,,,,,29
76059,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,6
76060,,,,,,1,,,,1,,,,,,,1,,,1,2,,2,,,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,7,2,5,,,1,,,,1,,,,,,1,,,36
76061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
76062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76063,,,,1,,2,1,,,1,3,,1,4,4,,4,1,1,,5,1,14,2,,,,1,1,4,,,12,10,,,1,,4,,,,,,,,1,1,,,1,,1,,2,,,,,3,,,,,,,1,,,1,,10,,,,1,5,,,,,81,30,22,44,,,4,,2,1,3,2,,,2,,5,,,301
76064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
76065,,,,,,,,,,3,4,,,1,2,1,,,,,7,1,8,2,,,,,,2,1,,6,1,,,,,2,,,,,,,,7,,1,,1,,1,,,,,,,,,,,,,,,,,2,,9,,,2,1,1,,,,,34,19,12,13,,,6,,2,,4,1,,,,,,,,157
76066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,2
76067,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,,11
76068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76070,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
76071,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,7
76073,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,7
76077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76078,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,15
76082,,,,,,,,,,,1,,,1,1,,,,,1,1,,4,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,6,2,1,,,1,1,,,,,,,,,,,,,27
76084,,,,,,,,,,,,,1,,,,,,,,2,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,9,5,1,3,,,,,,,,,,,,,,,,30
76085,,,,,,,,,,,,,,,1,1,,,,,1,,4,,,,,1,,,,,2,,,,,,,,,,,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,7,3,,3,,,2,,1,,,,,,,,,,,32
76086,,,,,,,,,,,,,,,,,1,,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,6,2,1,1,,,1,,,,,,,,,,,,,23
76087,,1,,,,,,,,,2,,,2,,1,,1,1,,2,,6,4,,,,1,,,,,3,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,2,,,5,,2,,1,,,15,10,5,15,,1,4,,,,1,,,,,,1,,,92
76088,1,,,,,,,,,1,,,,,,,,,1,,3,,8,1,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,6,5,,3,,,2,,,,,,,,,1,,,,39
76089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76092,2,,,13,,3,3,,1,4,8,,3,9,7,2,16,,1,,7,,18,10,,,,1,1,3,,,5,14,,,,,5,,,,,,,1,9,,,,,,,,8,,,,1,1,,,1,,,,1,,,2,,13,1,,10,10,30,,,,,222,164,85,100,,3,9,,,2,1,,,,,1,7,,,818
76093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76096,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
76102,,,,2,,1,,,,,4,,,2,1,,1,,,,4,,1,,,,,,,1,,,1,2,,,,,,,,,,,,1,13,,,,,,,,1,,,,,1,,,,,,,,1,,,4,2,,,3,,11,,3,,,41,25,11,19,,1,2,,,,,1,,,,,2,,,162
76103,,,,,,,,,,,,,,1,,1,,,,,2,,1,,,,,1,,,,,3,,,,,,2,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,2,1,2,,,,,,,1,,,,,,,,,26
76104,,,,,,,1,,,,3,,,2,,,,,1,,1,,3,1,,,,,,1,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,4,,,1,,1,,,,,17,4,2,6,,,1,,,,,,,,1,,,,,55
76105,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5
76106,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,1,,,2,,,,,,,,,,,,,15
76107,,,,,,,,,,2,6,,8,2,3,1,5,1,,,9,,7,1,,,,1,,,1,,3,,,,,,1,,,,,,,,3,,,,,,,,2,,,,,1,,,,,,,2,1,,,,5,,,1,1,4,,1,,,62,40,12,28,,1,2,,,,1,,,,,1,1,,,220
76108,,,,1,,,,,,,,,2,1,1,,2,,,,1,,8,2,,,,1,1,1,,1,6,2,,,1,,1,,,,,,,1,3,,,,,,,,1,,,,,,,,,1,,,,1,,2,,6,,,,1,1,,1,,,42,13,3,19,,,7,,1,,,,,,,1,,,,136
76109,,,,2,,1,,,,2,2,,,1,1,1,6,,,,1,,6,4,,,,,,,1,,2,1,,,,,3,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,,,,1,69,32,8,25,,1,2,,1,,1,,,,,,4,,,185
76110,1,,,,,,,,,1,1,,1,,,,2,,,,1,,1,2,,,,,,1,,,1,1,,,1,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,13,7,2,8,,,2,,1,,2,,,,1,2,3,,,63
76111,,,,,,1,,,,,1,,1,,,,,,,,5,,3,1,,,,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,,4,,,,,,,,,,12,2,3,4,,,,,,1,,,,,,,,,,47
76112,,,,1,,,,,,,3,,1,1,,,1,,,,3,,8,3,,,,1,,,,,4,2,,,,,,,,,,,,,4,,1,,,,1,,,,,,,,,,,,,,,2,,,,5,,,,,,,1,,,16,2,1,5,,,2,,,,,,,,,,,,,68
76114,,,,1,,,,,,1,,,,3,1,,,,,,,,1,,,,,3,,,,,3,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,,,9,8,1,6,,,1,,1,,1,,,,,,,,,46
76115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,8
76116,1,,,1,,,,,,1,1,,3,,1,,4,,,,7,,12,2,,,,3,,2,,,3,2,,1,,1,,,,,,,,,1,,,,,1,,,3,,,,,1,,,,,,,,2,,1,,7,,,2,,2,,,,,29,12,7,16,,,2,1,1,,,,,,1,,1,,,135
76117,,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,,2,,1,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,7,2,2,2,,,,,,,,,,,,,,,,28
76118,,,,,,,,,,,1,,,,1,1,2,1,,,2,,11,2,,,,,,,,,2,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,22,4,,4,,,1,,,,1,,,,,,,,,60
76119,,,,,,,,,,,1,,1,,2,,,,,,,,3,,,,,,,2,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,18
76120,,,,,,,,,,1,,1,,,3,,,,,,,,3,,,,,,,,,,1,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,,,,,,18,4,1,8,,1,,,1,,,,,,,,,,,51
76123,1,,,,,,,,,3,,1,,1,,,3,1,,,6,,10,2,,,,1,,,,1,3,1,,,,,1,,,,,,,,2,,,,,1,,,1,,,,,,,,,,,,,,1,,,5,,,,1,1,,,,,45,10,4,13,,,2,,,,2,,,,,,,,,123
