Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler Plug In,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Workhorse E-GEN Van,Grand Total
75790,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,6
75791,,,,,,,,,,,,,,3,,,,,,,1,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,2,,3,,,,,,,,,,,,,,1,,19
75792,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,6
75801,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,2,,,,,,,,,,,,,12
75802,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75803,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,11
75831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
75833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75835,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,5
75839,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75840,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,6
75844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
75845,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3
75846,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
75850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2
75852,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75853,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2
75855,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75859,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,8
75860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,4
75862,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5
75901,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,7,3,1,3,,,1,,,,,,,,,,,,,29
75904,,,,,,,,,,,,,,,,,1,,,,4,,2,,,,,,,,,,,1,1,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,1,,,,,,6,4,1,1,,,1,,1,,,,,,,,,,,31
75925,,,,,,,,,,,1,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6
75926,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2
75931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
75935,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2
75937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75938,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,4
75943,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75946,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
75948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
75949,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
75951,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,1,1,,,,,,,,,,,,,17
75954,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
75961,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,1,,,,,,,,,,,,,9
75964,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,2,,1,2,,,,,,,,,,,,,11
75965,,,,,,,,,,,,,,2,,,,,,,1,,4,1,,,,,,2,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,4,2,3,3,,,1,,1,,,,,,,,1,,,33
75966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
75972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,3
75974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75975,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
75980,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76001,,,,1,,,,,,1,,,,1,1,,3,1,2,,9,,7,,,,,1,,2,,,,3,,,,,,1,,,,,,,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,31,8,5,18,,,3,,1,,,,,,,,,,,114
76002,,,,1,,,,,,2,1,,1,,,,,,,,4,,10,2,,,,,,1,,,1,3,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,1,,,,6,,,1,,1,1,2,,,41,4,2,14,,,4,,1,,1,,,,,,,,,111
76004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76005,,,,,,,1,,,,2,,,1,2,1,,,1,,3,,2,3,,,,,,,,,,1,1,,,1,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,1,,5,1,,,,,,,,,51,17,4,31,,,1,,3,,,,,,,2,,,,139
76006,,,,,,,1,,,2,,,,3,2,,,,,,4,,5,3,,,,,,1,1,,,3,3,,,,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,35,12,6,10,,1,1,,,,2,,,,,,,,,104
76008,3,,,1,,1,,,,,1,,,1,,2,1,,,,2,1,8,6,,,,1,,,,,,3,2,,,1,,3,,,,,,,,,1,2,,2,,1,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,47,19,5,22,,,4,,1,1,2,,,,,1,,4,,152
76009,,,,,,,,,,1,,,,,1,,,,,,3,,4,,,,,1,,1,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,8,2,2,2,,,1,,,,,,,,,,,,,31
76010,,,,,,,,,,,1,,2,,1,,1,,,,1,1,3,2,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,15,8,3,6,,,2,,1,,,,,,,,,,,57
76011,,,,,,,,,,,1,,,,,,,,,,1,,8,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,13,5,4,3,,,1,,,,,,,,,,,,,45
76012,1,,,,,1,,,,,4,,5,3,1,2,2,1,1,1,5,1,8,,,,,1,,3,,,,7,1,,,,,3,,,,,,,,,,4,,1,2,,,,,,,,,,,1,1,,,,,,,1,,,,7,,,,,1,,,,,36,16,6,11,,,4,,2,1,2,,,,,,1,1,,149
76013,,,,,,,,,,1,1,,1,4,,,2,,,,9,2,5,1,,,,3,,2,,,1,2,1,,,,,1,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,1,,,,,,,1,,,4,1,,1,,1,,,,,23,9,4,10,,,2,,2,,2,,,,,1,,,,102
76014,,,,,,,,,,,,,,2,,,,,,,4,,4,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,12,2,1,4,,1,1,,,,,,,,,,,,,38
76015,,,,,,1,,,,,,,,,1,,,,,,3,,2,1,,,,1,,1,,,,1,2,,,,,1,,,,,,,,,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,9,,1,5,,,1,,,,,,,,,,,,,39
76016,1,,,,,,,,,2,2,,,1,,1,2,,,,6,1,17,1,,,,4,,1,,,,5,3,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,9,,,,,3,,1,,,37,27,4,21,,,7,,1,1,1,,,,,1,,1,,166
76017,2,,,,,,1,,,3,,,1,1,,,2,,1,,3,,13,4,,,,2,,4,,,,6,3,,,,,2,,,,,,,,,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,1,,8,,,,1,2,,,,,32,13,6,13,,,3,,1,1,,,,,,,,,,134
76018,,,,,,,,,,1,1,,,1,1,,,,,,1,1,10,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,20,6,2,8,,,1,,,,,,,,,,,,,65
76019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76020,,,,,,,,,,1,,,,3,,,1,,,,1,,6,1,,,,,,1,,,,3,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,11,6,4,8,,,2,,,,2,,,,,,,,,58
76021,,,1,1,,1,,,,2,2,,1,4,,,1,,,,11,1,16,3,,,,2,,2,,,1,1,,,,,,3,,,,,,,,,,4,,1,,1,1,,,,,,,,,,,,,,,,1,1,1,1,,14,,,,,,,1,,,47,15,4,21,,1,2,,3,,1,,,,,,1,,,174
76022,,,,,,,,,,,1,,,,,,2,,,,1,,6,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,1,,,,7,1,,,,,3,,,,,,,,,,,,,33
76023,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,10
76025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
76028,,,,,,,,,,2,,,3,2,3,,,,,,5,,14,3,,,,3,,2,1,,,5,3,,1,1,,4,,,,,,,,,,7,1,,1,2,,,,,3,,,,,,,1,,1,,,1,,1,1,,9,,1,1,1,1,,,,,83,20,12,23,,1,4,,,1,1,,,1,,,1,1,,232
76031,,,,,,,,,,,,,1,,,,1,,,,,,2,1,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,3,1,1,2,,,2,,,,,,,,,,,,,22
76033,,,,,,,,,,,,,,2,,,,,,,1,,4,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,10,5,,2,,,,,,,,,,,,,,1,,33
76034,,,,4,1,4,,,,2,8,1,4,5,2,,7,,,,6,,11,2,,,,1,,4,,,,5,5,,,,,6,,,,1,,,,,1,14,,,1,1,,,,1,,,,,1,,,,,,,,1,1,,1,,8,2,,2,4,10,,,,,127,87,47,73,,,2,,2,,,,,,,,,1,,466
76035,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,9
76036,,,,,,,,,,,1,,,1,,,1,,,,2,,11,,,,,2,,1,,,,4,1,,,1,,1,,,,,,,,,,3,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,3,,,,,1,,,,,24,8,3,11,,,3,,,,,,,,,2,,,,88
76039,,,,1,,,,,,2,,1,4,4,,,1,,1,,7,4,9,2,,,,,,4,,,,7,2,,,,,3,,,,,,,1,,,4,,,,,,,,,2,,,,,,,,,,,,,1,,,,9,,,,,,,,,,59,18,5,25,,1,3,,1,1,1,,,,,1,,,,184
76040,,,,,,,,,,1,,,,2,5,,,1,,,3,,9,3,,,,1,,5,,,,2,1,,,,,3,,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,1,,3,,,,1,,,1,,,37,4,,11,,,2,,,,2,,,,,,,,,102
76041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76043,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,2,1,2,,1,,,,,,,,,,,,,,16
76044,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,2,,4,,,,,,,,,,,,,,1,,20
76048,1,1,,,,,1,,,,1,,,1,,,1,,1,,2,,4,2,,,,,,2,,,,5,1,,,,,1,,,,,,,,,1,3,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,11,5,1,6,,,2,,,,,,,,,,,1,,60
76049,2,,,1,,,,,,1,,,1,2,,1,4,,1,,2,,4,2,,,,1,,1,,,,4,2,,,,,2,,,,,1,,1,,,4,,,1,1,,,,,2,1,,,,,,2,,,,,1,,,,,2,,,,,,,2,,,19,10,4,13,,,2,,1,,,,,,,1,,2,,101
76050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,1,,,1,,1,,,,,,,,,,,12
76051,2,,,5,,1,1,,,4,4,,4,4,1,3,5,1,2,,27,,28,2,,,,3,,4,2,,,12,6,,,,,2,,3,1,,1,,,,,5,,,3,,,,,,2,,,,,,,,,,,,,1,,1,,18,2,,5,2,,,,,2,130,43,18,56,1,3,4,,4,,6,,,,,2,,3,,439
76052,,,,,,,1,,,,4,,2,4,,,2,,2,,1,,15,4,,,,2,,2,,,,8,8,,,,,1,,1,,1,,,,,,5,,,1,1,,,2,,,,,,,,,,,,,,1,1,,1,,7,,,,,1,,1,,,48,18,4,31,,1,3,,2,1,4,,,,,,1,1,,193
76053,,,,,,,,,,1,1,,1,2,,,,,,,3,,6,,,,,3,,1,,,,1,1,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,1,,,1,,5,,,,,1,,,,,16,6,1,7,,,2,,,,1,,,,,,,,,65
76054,,,,,,,,,,1,,,2,4,,,,,,,5,,5,1,,,,1,,2,,,1,2,1,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,18,7,2,9,,,,,,,,,,,,1,1,,,77
76055,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,5
76058,,,,,,,,,,,,,,,,,,,,,1,,8,1,,,,1,,1,,,,4,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,8,2,,1,,,,,,,,,,,,,,,,31
76059,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,6
76060,,,,,,,,,,1,,,,,,,1,,,1,2,,2,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,8,2,7,,,2,,,,1,,,,,,,1,,40
76061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
76062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76063,,,,2,,2,1,,,1,3,,1,4,2,,4,,1,,5,1,14,2,,,,1,1,5,,,,12,11,,,,,4,,,,,,,,,1,1,1,,1,,1,,1,,2,,,,,4,,,,,,,1,,,,,11,,,,1,3,,,,,88,32,23,46,,,4,,5,2,3,,2,,,2,,4,,316
76064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
76065,,,,,,,,,,3,4,,,1,2,1,,,1,,7,1,8,2,,,,,,2,1,,,7,3,,,,,2,,2,,,,,,,,7,,1,1,,,,1,,,,,,,,,,,,,,,,,2,,8,1,,2,,1,,,,,34,19,13,20,,,6,,3,,4,,1,,,,,,,171
76066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
76067,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,,12
76068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
76070,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
76071,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,,,,,,,,,,,,,,,9
