Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
LPG,Blossman Gas Inc,6901 Iron Bridge Rd,"I-95 to Chippenham Pkwy to Iron Bridge, east 2 miles",Richmond,VA,23234,,804-598-1821,E,,Public - Card key after hours,"8am-5pm M-F, 9am-1pm Sat (full service); 24 hour access with Alliance AutoGas card (self-service)",A ALLIANCE Cash D M V,,,,,,,,,,200-9,37.419674,-77.501414,2022-10-11,13518,2022-10-11 18:56:12 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Carte-clé après les heures d'ouverture,,public,KEY_AFTER_HOURS,,FUEL_RESELLER,,,,,,,,,"[""QUICK_CONNECT""]",,,,,,,,false
LPG,AmeriGas,1421 S Main St,Near Waughtown St,Winston-Salem,NC,27127,,336-723-1673,T,2022-03-06,TEMPORARILY UNAVAILABLE (Public - Call ahead),8am-4:30pm M-F,Cash D M V,,,,,,,,,,GPS,36.0781916,-80.2401848,2021-11-04,13539,2022-02-10 19:42:29 UTC,P,,,1999-07-08,,,false,,,US,,,,TEMPORAIREMENT SUSPENDU (Public - Appeler à l'avance),,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,AmeriGas,710 Patton Ave,"Interstate 40-85 exit 126, south one block, turn right",Greensboro,NC,27406,,336-274-8449,T,2022-03-06,TEMPORARILY UNAVAILABLE (Public),8am-5pm M-F,Cash Checks D M V,,,,,,,,,,200-9,36.040371,-79.77377,2021-11-04,13545,2022-02-10 19:42:29 UTC,P,,,1999-07-08,,,false,,,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,STANDALONE_STATION,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Blossman Gas Inc,6109 W Wilkinson Blvd,1 mile from I-85,Belmont,NC,28012,,704-825-4427,E,,Public - Card key after hours,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash D M V,,,,,,,,,,200-9,35.250341,-81.055212,2022-11-10,13553,2022-11-10 16:40:31 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Carte-clé après les heures d'ouverture,,public,KEY_AFTER_HOURS,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Parker Gas Co,1504 Sunset Ave,Highway 24 W,Clinton,NC,28328,,910-592-3942,E,,Public,"8am-5pm M-F, 9am-12pm Sat",Cash Checks M V,,,,,,,,,,GPS,34.99191447235952,-78.35319889682006,2022-11-10,13556,2022-11-10 16:40:31 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Blossman Gas Inc,1990 Joe Frank Harris Pkwy NW,"4 miles W of I-75 between exit 126 and exit 127, N of Cartersville",Cartersville,GA,30121,,770-386-6268,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.231469,-84.855059,2022-06-14,13597,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Blossman Gas Inc,2635 E Highway 16,"From Highway 29-27, go 7 miles east on Highway 16 toward Senoia",Sharpsburg,GA,30277,,770-253-4344,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,33.330208,-84.696877,2022-06-14,13602,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Georgia Gas Distributors Inc,1475 Old Chattahoochee Ave,,Atlanta,GA,30318,,404-497-1600,E,,Public,7:30am-4pm M-F,A Cash D M V,,,,,,,,,,200-9,33.795583,-84.416951,2022-07-12,13603,2022-07-12 20:31:42 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Blossman Gas Inc,4319 Mundy Mill Rd,"Off Highway 53 W, 2 miles on left",Oakwood,GA,30566,,770-532-1898,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.25143680939097,-83.89017841468046,2022-06-14,13618,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FLEET_GARAGE,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Suburban Propane,17460 High Springs Main St,"US 90, 1 mile west of Live Oak",High Springs,FL,32643,,386-362-2424,E,,Public,8am-4:30pm M-F,A Cash D M V,,,,,,,,,,GPS,29.81560949495183,-82.60430327116394,2022-09-14,13634,2022-09-14 15:49:44 UTC,P,,,2014-07-16,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,D & D Gas Inc,7709 Alton Ave,1 block north of Atlantic Blvd from Arlington Rd,Jacksonville,FL,32211,,904-725-9144,E,,Public - Call ahead,8am-5pm M-F,A Cash Checks D M V,,,,,,,,,,200-9,30.314705,-81.576634,2022-09-14,13636,2022-09-14 15:49:44 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Lovelace Gas Service Inc,10606 E Colonial Dr,"Highway 50, 0.5 mile east of Dean Rd",Orlando,FL,32817,,407-277-2966,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat; must have state decal",Cash Checks,,,,,,,,,,200-9,28.568905,-81.232029,2022-09-14,13655,2022-09-14 15:49:44 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Gala Gas Co Inc,54 Old US Highway 82,US 431 N and Old US Highway 82,Eufaula,AL,36027,,,E,,Private,,,,,,,,,,,,GPS,31.91202187551444,-85.15031842460633,2022-08-10,13712,2022-08-10 13:32:10 UTC,P,,,1999-07-08,,,,,,US,,,,Privé,,private,,,FUEL_RESELLER,,,,,,,,,,,,,,,,,
LPG,Superior Gas,421 Noble St,"From Quintard take Highway 202 to the second red light, left to 4th St",Anniston,AL,36201,,256-237-6665,E,,Public - Call ahead,8am-5pm M-F; must have state decal,Cash D M V,,,,,,,,,,GPS,33.64207941993194,-85.82846608465697,2022-09-14,13723,2022-09-14 15:49:44 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Superior Gas,702 Memorial Dr,,Piedmont,AL,36272,,256-447-9075,E,,Public - Call ahead,8am-5pm M-F; must have state decal,Cash D M V,,,,,,,,,,200-9,33.921589,-85.620314,2022-08-10,13725,2022-08-10 13:32:10 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Superior Gas,915 Lafayette Hwy,Turn right on Lafayette from Highway 431 N,Roanoke,AL,36274,,334-863-2138,E,,Public,8am-5pm M-F; must have state decal,Cash Checks D M V,,,,,,,,,,GPS,33.136025,-85.362562,2022-09-14,13726,2022-09-14 15:49:44 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Blossman Gas Inc,1662 Old Highway N 431,,Wedowee,AL,36278,,256-357-2805,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash D M V,,,,,,,,,,GPS,33.3315279279969,-85.47636822090146,2022-06-14,13727,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""QUICK_CONNECT""]",,,,,,,,false
LPG,Blossman Gas Inc,3003 Marvyn Pkwy,On Highway 280,Opelika,AL,36804,,334-749-1431,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash D M V,,,,,,,,,,200-9,32.613832,-85.371078,2022-06-14,13748,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""QUICK_CONNECT""]",,,,,,,,false
LPG,Scott Petroleum,905 Highway 12 W,,Starkville,MS,39759,,662-324-5311,E,,Public - Call ahead,8am-5pm M-F,Cash Checks D M V,,,,,,,,,,200-9,33.44524,-88.84445,2022-06-14,13775,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Blossman Gas Inc,12675 State Highway 28 W,2 miles west of Taylorsville,Taylorsville,MS,39168,,601-785-6551,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only) (full service); 24 hour access with Alliance AutoGas card (self-service)",A ALLIANCE Cash D M V,,,,,,,,,,GPS,31.730092,-89.428718,2022-07-12,13782,2022-07-12 20:31:42 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Blossman Gas Inc,404 Northside Dr,"From the intersection of Highway 15 and Highway 80, right on Highway 80, 1 mile on right side",Newton,MS,39345,,601-683-3431,E,,Public,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only) (full service); 24 hour access with Alliance AutoGas card (self-service)",A ALLIANCE Cash D M V,,,,,,,,,,200-8,32.332444,-89.153519,2022-06-14,13789,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Blossman Gas Inc,305 N Archusa Ave,,Quitman,MS,39355,,601-776-3601  228-875-2261,E,,Public,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,32.044212,-88.728494,2022-08-10,13791,2022-08-10 13:32:10 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""QUICK_CONNECT""]",,,,,,,,false
LPG,Blossman Gas Inc,102 Mississippi Dr,On Highway 45 just south of town,Waynesboro,MS,39367,,601-735-2522,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only) (full service); 24 hour access with Alliance AutoGas card (self-service)",A ALLIANCE Cash D M V,,,,,,,,,,GPS,31.66465233611498,-88.62882023677065,2022-06-14,13792,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Alliance AutoGas,3000 25th Ave,7 miles south of I-10 on US Highway 49,Gulfport,MS,39501,,228-864-1162,E,,Public,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",A ALLIANCE Cash D M V,,,,,,,,,,200-9,30.387011,-89.092705,2022-07-12,13798,2022-07-12 20:31:42 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Herring Gas Co,249 Old Highway 98 E,,Tylertown,MS,39667,,601-876-3422,E,,Public - Call ahead,7:30am-5pm M-F,Cash D M V,,,,,,,,,,200-8,31.125255,-90.105773,2022-06-14,13801,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Blossman Gas Inc,110 Campbell Ln,Off Highway 880. Also called Veterans Memorial Blvd,Bowling Green,KY,42101,,270-842-9427,E,,Public - Card key after hours,8am-4pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),ALLIANCE Cash D M V,,,,,,,,,,GPS,36.96700673178476,-86.47675713757324,2022-09-14,13813,2022-09-14 15:49:44 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Carte-clé après les heures d'ouverture,,public,KEY_AFTER_HOURS,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,AmeriGas,10501 Airport Hwy,"Between Garden Rd and the airport, on south side",Swanton,OH,43558,,800-345-5049,E,,Public - Call ahead,8am-4pm M-F,A Cash Checks D M V,,,,,,,,,,200-9,41.599915,-83.793113,2021-05-06,13818,2022-02-10 19:42:29 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,,,,,,,,,false
LPG,AmeriGas,2400 S Main St,"From State Route 224 take S Main St S, 0.25 mile on right at corner of N Turkeyfoot",Akron,OH,44319,,330-644-0608  320-644-8466,E,,Public,8am-4pm M-F,Cash M V,,,,,,,,,,200-9,41.021243,-81.527391,2021-04-08,13822,2022-02-10 19:42:29 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,,,,,,,,,false
LPG,Sunoco - Frantom,2006 W Michigan St,Exit 92 on I-75 W,Sidney,OH,45365,,937-492-6510,E,,Public,"7am-8pm M-F, 7:30am-8pm Sat, 8am-8pm Sun",A Cash D M V,,,,,,,,,,GPS,40.28805210000001,-84.1853395,2022-04-06,13834,2022-04-06 14:08:04 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,McMahan's Bottle Gas,3551 Intercity Dr,At Harshman Rd and Valley St,Dayton,OH,45424,,937-233-0831,E,,Public,"8am-5pm M-F, 8am-4pm Sat",A Cash Checks D Debit M V,,,,,,,,,,200-9,39.801785,-84.119562,2022-04-06,13839,2022-04-06 14:08:04 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Ferrellgas,1750 W Epler Ave,"At State Road 37, at northeast corner",Indianapolis,IN,46217,,317-783-0236,E,,Public - Call ahead,8am-5pm M-F,A Cash D M V,,,,,,,,,,GPS,39.68595446240126,-86.19135127116394,2022-09-14,13845,2022-09-14 15:49:44 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Franger Gas Co,27795 County Rd 10 W,2 miles west of Main St and Bristol St intersection,Elkhart,IN,46514,,574-264-2118,E,,Public,"8am-5pm M-F, 9am-12pm Sat; must have state decal",Cash Checks D M V,,,,,,,,,,200-8,41.703187,-85.999989,2022-11-10,13847,2022-11-10 16:40:31 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Pearce Bottled Gas Inc,9360 Highway 150,"From I-64, exit 119, 7.5 miles on right",Greenville,IN,47124,,812-923-8891,E,,Public,"8am-4:30pm M-F, 8am-12pm Sat",Cash D M V,,,,,,,,,,200-8,38.370905,-85.982061,2022-10-11,13859,2022-10-11 18:56:12 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Greene's Gas Co,2625 S Huron Rd,0.5 mile north of Kawkawlin,Kawkawlin,MI,48631,,989-684-3701,E,,Public,"8am-5pm M-F, 8am-12pm Sat",Cash D M V,,,,,,,,,,GPS,43.6636158,-83.9491356,2022-06-14,13887,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Coyne Oil and Propane - Citgo,914 W Pickard St,,Mt. Pleasant,MI,48858,,989-772-2270,E,,Public,7am-5pm M-F,Cash D M V,,,,,,,,,,200-9,43.612859,-84.786743,2021-06-07,13891,2022-06-14 16:23:53 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Gas Production Co Inc,8512 Howard City Edmore Rd,0.5 mile west of Crystal Rd on M-46,Vestaburg,MI,48891,,989-268-5079,E,,Public,8am-5pm M-F,Cash D M V,,,,,,,,,,200-9,43.40755,-84.914344,2022-06-14,13892,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Tapper Propane,79221 M-51 Hwy,5 miles south of I-94,Decatur,MI,49045,,269-423-2366  269-423-6031,T,2022-09-02,TEMPORARILY UNAVAILABLE (Public - Call ahead),"8am-5pm M-F, 8am-12pm Sat",A Cash Checks D M V,,,,,,,,,,GPS,42.08426579137223,-86.10764249073793,2022-06-14,13900,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,false,,,US,,,,TEMPORAIREMENT SUSPENDU (Public - Appeler à l'avance),,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,AmeriGas,13443 Northland Dr,South of Cedar Springs,Cedar Springs,MI,49319,,616-696-9640,E,,Public - Call ahead,7:30am-4:30pm M-F,A Cash D M V,,,,,,,,,,200-9,43.209511,-85.552336,2021-06-07,13917,2022-02-10 19:42:29 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Key Co-op - Cenex,633 Market Ave,At Broad St,Story City,IA,50248,,515-733-4358  800-469-1040,E,,Public,8am-5pm daily,A Cash D FuelMan GasCard M V Wright_Exp,,,,,,,,,,200-9,42.18877,-93.600452,2021-03-15,13943,2022-06-14 16:23:53 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,COOP,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Farmers Cooperative Oil Co.,603 2nd Ave,1 block south of Highway 18 and Highway 60,Sheldon,IA,51201,,712 -631-4445,E,,Public,"7am-5:30pm M-F, 7am-12pm Sat",A Cash D M V,,,,,,,,,,200-9,43.184578,-95.854432,2022-04-06,13950,2022-04-06 14:08:04 UTC,P,,,2021-12-21,,,true,,,US,,,,Public,,public,,,COOP,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,United Farmers Mercantile Co-op,203 W Oak St,"At Highway 34, refuel on hardware side (northeast corner of the building)",Red Oak,IA,51566,,712-623-5453,E,,Public,"7:30am-6:30pm M-F, 7:30am-4:30pm Sat",Cash Checks D M V,,,,,,,,,,200-9,41.016931,-95.233166,2022-03-07,13953,2022-03-07 19:49:53 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,COOP,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,AmeriGas,4117 Terminal Dr,"Near Highway 51, or intersection of 12 and 18",McFarland,WI,53558,,608-838-6598,T,2022-03-06,TEMPORARILY UNAVAILABLE (Public - Call ahead),"8am-4:30pm M-Th, 8am-3:30pm F",A Cash D M V,,,,,,,,,,200-9,43.037844,-89.300987,2021-11-04,13981,2022-02-10 19:42:29 UTC,P,,,2017-01-06,,,false,,,US,,,,TEMPORAIREMENT SUSPENDU (Public - Appeler à l'avance),,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Roche-A-Cri Gas,503 S Main St,"Highway 13, south side of town near railroad tracks",Adams,WI,53910,,608-339-6211,E,,Public,"8am-4:30pm M-F, 8am-12pm Sat",Cash D M V,,,,,,,,,,200-9,43.951709,-89.818179,2022-11-10,13985,2022-11-10 16:40:31 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,United Co-op,7160 N Raceway Rd,0.5 mile east of intersection of Highway 151 and Highway 33,Beaver Dam,WI,53916,,920-887-1756,E,,Public - Call ahead,8am-5pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,43.45333162313355,-88.80594289999884,2022-11-10,13988,2022-11-10 16:40:31 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,COOP,,,,,,,,,,,,,,,,,false
