,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
186,ELEC,DAL PARKING DAL GARAGE B1,Parking Garage B,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.841325,-96.847504,2022-10-30,94546,2022-10-30 00:54:17 UTC,,,,2018-03-29,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
189,ELEC,Original Pancake House - Addison,5220 Belt Line Rd,,Dallas,TX,75254,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.953741,-96.81993,2022-10-05,95070,2022-10-05 22:55:23 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
212,ELEC,YMCA - Lake Highlands #37,8920 Stults Rd,,Dallas,TX,75243,,888-998-2546,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.904398,-96.749733,2022-10-05,95955,2022-10-05 22:57:32 UTC,,,,2015-10-02,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
218,ELEC,Bishop Arts District - 7th Street Parking Lot,324 West 7th Street,,Dallas,TX,75208,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.748761,-96.826846,2022-10-05,96587,2022-10-05 22:59:07 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
252,ELEC,The Hill Shopping Center - Tesla Supercharger,9740 North Central Expressway,,Dallas,TX,75231,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,11.0,,Tesla,https://www.tesla.com/supercharger,200-8,32.881141,-96.76952,2021-10-11,102431,2021-11-04 18:37:47 UTC,P,,,2018-07-23,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,
300,ELEC,CORT GALLERIA STATION1,5005 Galleria Rd,,Dallas,TX,75240,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.930033,-96.823441,2022-10-30,104837,2022-10-30 00:56:27 UTC,,,,2018-11-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
316,ELEC,JEH CHARGEPOINT SHOP02,6007 Peeler St,,Dallas,TX,75235,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.82968,-96.831671,2022-10-30,105447,2022-10-30 00:56:44 UTC,,,,2018-12-21,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
317,ELEC,JEH CHARGEPOINT SHOP01,109 Cedar Plaza Ln,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.825071,-96.822888,2022-10-30,105448,2022-10-30 00:56:38 UTC,,,,2018-12-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
378,ELEC,Hampton Inn & Suites Dallas - North Park Area - Tesla Destination,10370 N Central Expy,,Dallas,TX,75231,,214-361-0033  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.887235,-96.769384,2020-11-03,115694,2021-03-11 23:22:17 UTC,P,,,2017-09-01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
379,ELEC,Consolidated Restaurant Operations - Tesla Destination,12200 Stemmons Fwy,,Dallas,TX,75234,,972-241-5500  877-798-3752,E,,Public,24 hours daily; for customer use only,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.918521,-96.897054,2020-11-03,115695,2021-03-11 23:22:17 UTC,P,,,2016-04-01,,,,,TESLA,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,
380,ELEC,NYLO Dallas South Side - Tesla Destination,1325 S Lamar St,,Dallas,TX,75215,,214-421-1080  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.767566,-96.796303,2020-11-03,115696,2021-03-11 23:22:17 UTC,P,,,2015-05-01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
381,ELEC,Fairmont Dallas - Tesla Destination,1717 N Akard St,,Dallas,TX,75201,,214-720-2020  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.786084,-96.801995,2020-11-03,115697,2021-03-11 23:22:17 UTC,P,,,2016-08-15,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
382,ELEC,The Ritz-Carlton Dallas - Tesla Destination,2121 McKinney Ave,,Dallas,TX,75201,,214-922-0200  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.792433,-96.803742,2020-11-03,115698,2021-03-11 23:22:17 UTC,P,,,2016-04-01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
383,ELEC,Aloft Dallas/Lovefield - Tesla Destination,2333  W Mockingbird Ln,,Dallas,TX,75235,,214-358-7575  877-798-3752,E,,Public,24 hours daily,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.826209,-96.847188,2020-11-03,115699,2021-03-11 23:22:17 UTC,P,,,2017-03-01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
384,ELEC,Hyatt Regency Dallas - Tesla Destination,300 Reunion Blvd,,Dallas,TX,75207,,214-651-1234  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,32.775772706269336,-96.8092795370178,2020-11-03,115700,2021-03-11 23:22:17 UTC,P,,,2015-05-01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
385,ELEC,Residence Inn Dallas at The Canyon - Tesla Destination,3425 Canyon Bluff Blvd,,Dallas,TX,75211,,214-330-0100  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,6.0,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,32.765875,-96.876091,2020-11-03,115701,2021-03-11 23:22:17 UTC,P,,,2018-11-01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
386,ELEC,Sheraton Dallas Galleria - Tesla Destination,4801 Lyndon B  Johnson Fwy,,Dallas,TX,75248,,972-661-3600  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,4.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.926698,-96.824415,2020-11-03,115702,2021-03-11 23:22:17 UTC,P,,,2018-11-01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
387,ELEC,Omni Dallas Hotel - Tesla Destination,555 S Lamar St,,Dallas,TX,75218,,214-744-6664  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,4.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.775161,-96.803898,2020-11-03,115703,2021-03-11 23:22:17 UTC,P,,,2018-11-01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
388,ELEC,Holiday Inn Express & Suites North Dallas At Preston - Tesla Destination,6055 LBJ Freeway,,Dallas,TX,75240,,972-404-4500  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,32.926755,-96.801658,2020-11-03,115704,2021-03-11 23:22:17 UTC,P,,,2017-09-01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
389,ELEC,Dallas Marriott City Center - Tesla Destination,650 N Pearl St,,Dallas,TX,75201,,214-979-9000  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.786678,-96.795531,2020-11-03,115706,2021-03-11 23:22:17 UTC,P,,,2015-05-01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,
390,ELEC,The LOT Dallas - Tesla Destination,7530 E. Grand Ave,,Dallas,TX,75214,,214-321-1990  877-798-3752,E,,Public,24 hours daily; for customer use only,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.810253,-96.729128,2020-11-03,115707,2021-03-11 23:22:17 UTC,P,,,2016-09-01,,,,,TESLA,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,
391,ELEC,Preston Hollow Emergency Room - Tesla Destination,8007 Walnut Hill Ln,,Dallas,TX,75231,,214-217-0911  877-798-3752,E,,Public,24 hours daily,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.880479,-96.769066,2020-11-03,115708,2021-03-11 23:22:17 UTC,P,,,2015-05-01,,,,,TESLA,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free,,,,,,,,,,
392,ELEC,Highland Park Village - Tesla Destination,58 Highland Park Village,,Dallas,TX,75205,,214-443-9898  877-798-3752,E,,Public,24 hours daily; for customer use only,,,,,,4.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.836217,-96.806812,2020-11-03,115710,2021-03-11 23:22:17 UTC,P,,,2018-11-01,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,
545,ELEC,Perot Museum of Nature and Science,2200-2298 Summer St,,Dallas,TX,75202,,214-428-5555,E,,Public,"10am-5pm M-Sat, 11am-5pm Sun; for visitor use only",,,,,,2.0,,,Non-Networked,,GPS,32.786912,-96.806618,2020-09-03,116954,2022-04-28 20:01:31 UTC,P,,,2019-01-01,,,,,J1772,US,,,,Public,,public,,,MUSEUM,,,,,,,,,,,,,,,,,True
546,ELEC,Children's Medical Center - Dallas,1935 Medical District Dr,Southwestern Medical Ave; Green Garage across from the hospital's main entrance,Dallas,TX,75235,,844-424-4537,E,,Public,24 hours daily,,,,,,5.0,,,Non-Networked,,200-9,32.809191,-96.837838,2020-05-06,116955,2021-03-11 23:22:17 UTC,P,,,2019-01-01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free,,,,,,,,,,False
547,ELEC,Children's Health Specialty Center - Dallas Campus,2350 N Stemmons Fwy,Children's Way; Purple Garage,Dallas,TX,75207,,,E,,Private,For employee use only,,,,,,5.0,,,Non-Networked,,200-9,32.806816,-96.836049,2022-07-12,116956,2022-07-12 20:31:42 UTC,P,,,2019-01-01,,,,,J1772 TESLA,US,,,,Privé,,private,,,HOSPITAL,,,,,,,Free,,,,,,,,,,
565,ELEC,PLATINUM PARK UNIT 3,2000 Ross Ave,,Dallas,TX,75201,,888-758-4389,T,2022-10-15,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.786863,-96.798967,2022-10-30,121548,2022-10-30 00:58:18 UTC,,,,2019-04-17,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
630,ELEC,2300NORTHAKARD P6 UPPER GARAGE,2323 N. Akard Street,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.789586,-96.806265,2022-10-30,123674,2022-10-30 00:58:01 UTC,,,,2019-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
631,ELEC,2300NORTHAKARD B2 LOWER GARAGE,2380 N Field St,,Dallas,TX,75201,,888-758-4389,T,2022-09-12,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.789128,-96.806816,2022-10-30,123675,2022-10-30 00:58:01 UTC,,,,2019-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
633,ELEC,Green Spot Market & Fuels,702 N Buckner Blvd,"The chargers at this location are under 
repairs.
",Dallas,TX,75218,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.846084,-96.711979,2022-10-05,123737,2022-10-05 22:59:00 UTC,,,,2019-06-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
641,ELEC,TOLLWAY CENTER NORTH UNIT,14675 Dallas Pkwy,,Dallas,TX,75254,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.94605,-96.82465,2022-10-30,143175,2022-10-30 01:00:05 UTC,,,,2019-08-15,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
659,ELEC,PLATINUM PARK UNIT #1,2001 Ross ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.787591,-96.799428,2022-10-30,143588,2022-10-30 00:58:04 UTC,,,,2019-08-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
666,ELEC,BC STATION 1 STATION 2,3130 N Harwood St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.797459,-96.811706,2022-10-30,144081,2022-10-30 01:00:10 UTC,,,,2019-08-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
699,ELEC,Two Galleria Office Tower,13455 Noel Rd,".The chargers at this location are 
under repairs.

Tower 2
",Dallas,TX,75240,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.930157,-96.818688,2022-10-05,147535,2022-10-05 22:56:03 UTC,,,,2019-11-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
703,ELEC,Broadstone 5151,5151 Bent Tree Forest Drive,,Dallas,TX,75248,,800-663-5633,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.9651005,-96.8199773,2022-10-30,148646,2022-10-30 00:34:18 UTC,,,,2017-12-14,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,"$1.00/Hr Parking Fee , $0.20/kWh Energy Fee",,,,,,,,,,
704,ELEC,Main Location,5519 Arapaho Rd.,,Dallas,TX,85248,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.9621342,-96.8171805,2022-10-30,148647,2022-10-30 00:34:18 UTC,,,,2019-10-23,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
706,ELEC,Preston Royal Village,6025 Royal Lane,,Dallas,TX,25230,,800-663-5633,T,2022-09-19,TEMPORARILY UNAVAILABLE (Public),MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.8961547,-96.8022961,2022-10-30,148660,2022-10-30 00:34:18 UTC,,,,2019-09-04,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,FREE,,,,,,,,,,
708,ELEC,Lyra On Mckinney,4209 McKinney Avenue,,Dallas,TX,75204,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.8167932,-96.791941,2022-10-30,148690,2022-10-30 00:34:18 UTC,,,,2019-11-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
709,ELEC,Glass House by Windsor,2728 McKinnon Street,,Dallas,TX,75201,,800-663-5633,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.7946052,-96.8069335,2022-10-30,148699,2022-10-30 00:34:18 UTC,,,,2019-04-20,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,FREE,,,,,,,,,,
710,ELEC,PURE Farmers Market,835 South Good Latimer Expressway,,Dallas,TX,75226,,800-663-5633,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.7775987,-96.7857078,2022-10-30,148704,2022-10-30 00:34:18 UTC,,,,2019-07-03,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,FREE,,,,,,,,,,
711,ELEC,Hyatt Regency Dallas,300 Reunion Blvd,,Dallas,TX,75207,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.7753462,-96.8089502,2022-10-30,148706,2022-10-30 00:34:18 UTC,,,,2017-02-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
756,ELEC,Element by Westin Dallas East - Tesla Destination,4005 Gaston Ave,,Dallas,TX,75246,,469-399-1049  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.79365,-96.778059,2020-11-03,150684,2021-03-11 23:22:17 UTC,P,,,2019-09-30,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
761,ELEC,Cinemark 17 IMAX,11819 Webb Chapel Rd,,Dallas,TX,75234,,888-264-2208,E,,Public,6am-12am daily,,,,,,4.0,,,Volta,https://voltacharging.com/,GPS,32.910789,-96.873885,2021-04-08,151804,2022-10-17 15:38:16 UTC,P,,,2019-07-29,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,False
781,ELEC,Oncor Electric,1616 Woodall Rodgers Fwy,,Dallas,TX,75202,,,E,,Private,Employee and visitor use only,,,,,,9.0,,,Non-Networked,,200-9,32.786667,-96.803696,2021-08-04,152212,2022-05-17 12:36:06 UTC,P,,,2020-01-06,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
802,ELEC,FOURTEEN5 West Garage,"14555 Dallas Parkway
Suite 140",,Dallas,TX,75254,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.9435587,-96.8229379,2022-10-30,153550,2022-10-30 00:34:18 UTC,,,,2020-02-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
808,ELEC,DHM-GARAGE STATION 4,301 N Houston St,,Dallas,TX,75202,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.780895,-96.808846,2022-10-30,154081,2022-10-30 01:04:15 UTC,,,,2020-02-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
820,ELEC,2000 MCKINNEY STATION #1,2000 McKinney Ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.790657,-96.802991,2022-10-30,154340,2022-10-30 01:04:06 UTC,,,,2020-03-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
